Marathi_Words,Frequency
माझा!!!,81
नाव@ ,23
--सुंदर ,52
प्रेम__ ,12
खेळ ,16
शिक्षण ,2
पुस्तक++,4
खाणे--,4
पाणी,1
सोडलेला,1
!!पाहिजे ,43
मन^^ ,11
वेळ %%,1
आ--पला ,25
दिल ,1
आनंद ,1
माझ्या ,16
प्रि##य ,1
आप==ल्या ,14
विचार ,1
सहाय्य ,1
$संगीत@ ,1
दोन ,3
मनापासून ,2
खुप ,14
आवश्यक ,2
स्__थान,5
विचारलेला##,2
प्रश्न$$,1
संघ ,1
सप्ताह ,16
तरंग ,23
शिक्षक  ,11
भविष्य** ,3
बोलून ,9
रुप ,32
बऱ्याच ,47
प्राप्त ,345
तयार ,88
विचारात्मक ,96
विकसित ,46
विचारले ,23
त्रुटी ,11
_पूर्ण** ,36
__अधिक ,82
आपल्याला ,349
@जन्म++,75
स्वप्न ,56
संसार ,33
सांगणार ,21
प्रकार ,7
अंधकार ,55
पाण्याची ,689
ग्रंथ ,3
आत्मा ,54
सूर्य ,2
पुरुष ,1
स्**वार्ग ,27
प्रक्रिया/*/,83
शिक्षणक्षेत्र ,67
विचारलेल्या%%,1
साधारण ,78
प्रेमिका ,35
स्थिती ,40
विक्री ,69
अप्रतिबद्ध ,1
अनुभव ,97
भाषा ,53
संग्रह ,35
सुंदरता ,26
विचारणार++,1
अर्थ ,342
प्राप्तिचा ,85
दिवस ,92
भविष्यवाणी--- ,34
वाचन ,45
जणनार ,86
पुस्तकालय ,982
योग्यता ,44
शांतता ,6
खुशी ,992
सांग ,433
शब्द ,5
धन्यवाद ,23
स्नान ,2
गर्मी ,10
खेळाडू ,74
वृक्ष ,19
सांगतो ,1
विजय ,9744
अपमान ,48
स्थानिक ,5
स्वास्थ्य ,43
व्यक्त,9
नेतृत्वकर्ता,1
शिक्षणक्षेत्राच्या,1
अभिमान,98
वस्तु,9
बदला,2
उपकार,44
अवाचक,1
संवाद,23
सांगत,1
विक्रमाच्या,79
दान,65
प्रत्यक्ष,1
समाजिक,33
वाचनक्षेत्रातील,5
वाचनाच्या,37
यात्रा,79
वैशिष्ट्य,44
सांगतल्या,56
जीवनशैली,473
नेतृत्वचालक,44
पर्यायशब्द,75
शिक्षणक्षेत्रातील,24
सानेक,1
समर्थक,64
संग्रहण,67
अन्य,2
संस्कृती,5
शासकीय,43
प्रमाणपत्र,458
व्यवस्थित,4
साना,23
न्याय,11
प्रमाणित,1
विचारात्मक,145
विक्रमाच्या,
समस्या,147
प्रतिसादक,4
शिक्षणक्षेत्राच्या,433
प्राधिकृत,954
संवादक,33
विचारल्या,1
विद्यार्थी,6
आजच्या,12
आपत्ती,31
संग्रहक,18
अद्यतन,48
उपयोगकर्ता,99
सांगणार,86
आदित्य,12
आणणार,350
समझणार्या,36
उपायकर्ता,64
नियोक्ताच्या,46
शिक्षणक्षेत्राच्या,1
आपल्याला,84
अंधकारित,84
दिलासा,9536
नियम,57
स्नेह,58
अवसर,85
प्राणी,37
दिवाळी,58
विरोध,47
राजा,20
बच्चा,48
मोठा,95
धर्म,1
विद्यार्थी,47
आदर,69
संकेत,17
आवाज,62
पर्याय,1
स्त्री,95
समाज,5
विक्रम,166
वृत्त,3
स्वप्नांच्या,1
ग्रह,123
शिक्षणक्षेत्रातील,15
बोलताना,1716
स्नानक्षेत्र,8
जीवनाचा,8
पुराण,8732
सर्व,3224
योग्य,2398
सजीव,1625
वायु,3891
जनता,2124
विश्व,96
बालक,284
राज्य,3477
ज्ञान,11879
साहित्य,22785
विकेन्द्रीकरण,147
प्रतिसाद,3698
समर्थ,3717
उपकरण,27895
पर्याप्त,25844
ग्रामीण,24
सुरवात,823
निर्णय,1430
योजना,12553
निवासी,97
यश,149
धरती,13
जनवरी,1
गरीब,57
पुरस्कार,6
लक्ष्य,411
शिक्षणक्षेत्राच्या,8
सहाय्यक,35
आशीर्वाद,11
शरण,65
आग,5
सुख,1
आवाज,46
विचारी,7
प्रसाद,19
दर,2
भूमि,11
प्रेमिक,46
वाचनक्षेत्र,88
तारीख,76
रात्र,35
भविष्यकल्पना,74
वाद,3
तळ,83
विचारण्यातील,12
विद्या,758
दुनिया,96
समुद्र,3
अंगण,15
तंत्रिक,75
उद्योग,58
वय,6
शिक्षणक्षेत्रातील,80
पुराणी,54
बाजू,1
अनिवार्य,688
विचाराचा,84
विचारल्या,34
विचारात्मकता,12
उपकरणे,1
साक्षरता,13
आयुष्य,36
बदल,68
सखा,96
सांगणार्या,75
वस्त्र,46
विजेता,36
प्रवृत्त,572
भय,15
यात्रा,35
दिवाळी,36
प्रमाण,85
अस्मिता,28
असाधारण,185
आरोग्य,307
उत्कृष्ट,930
अध्ययन,33878
संस्थान,16
दुःख,437154
रक्षण,8660
ग्रंथालय,5245
आत्मविश्वास,45299
जीव,356530
संगणक,1131
धर्मयुद्ध,97993
साहित्यिक,50965
वाचनाच्या,467462
सानेक,5684
विश्वास,123
दराण,9
नियोक्ता,16
संशोधन,66
अनुभवी,226
गाव,27437
आदर्श,222
असमर्थ,243
संकेतक,5487
नेतृत्व,36269
उपाय,18790
पुराणिक,20539
व्यापार,535123
प्राप्तिच्या,8
ब्रह्मांड,53
शांत,11
अभिनेता,49
आदिवासी,15
आरोग्य,93333
आवाज,11629
उद्योग,20372
उपकरण,112492
उपयोग,271
उद्घाटन,39
उपासक,83
ऊर्जा,93
एकत्र,74
ओळख,47
कला,36
केंद्र,44
कोणत्याही,6745
चित्र,39
चिंतन,17
चिरपुस्तक,84
जवळच्या,68
जाण,25
जीवन,20013
ज्येष्ठ,72
ज्योतीच्या,238
डॉक्टर,86
डोक्यात,33
ढग,55
णिवडक,13
तंत्र,35
तिथी,5
दिल,3
दिलखुला,25
दिलासा,66
धरण,78
धारणा,22
निवारक!!,25
निर्मिती*&,24
प्रकार**,5
प्रतिसाद,1
प्रमाण,5
प्राण,44
पूजा,2
बदल,4
बाज,66
बाबा,3
बाल,22
बाळ,2
बोल,3
--ब्यूटीफुल===,46
भावना,536
भूसंचयन,36
मनीष,54
महिला,45
++महत्त्वाचा,46
माणस,56
मित्र,64
मूळ,86
मृत्यु,545
मेळवणार,13
या,243
यात्रा,24
यावर,85
यिन,178
रुग्ण,32
रेखांकन,33
लघु,67
लक्ष,229
वचन,8
विचार,89
#_विचारण,78
विचारात्मक,45
विचारात्मकता,2
विचाराल,12
विचारी,58
विचारीत___,68
विचारीता-=+,75
$$$विचारीतील,89
__विचारात्मकता+,90
-विचारात्मकतेवर===,88
मला,68
हो,24
आहे,34154
मी,45
तुला,145
घरी,76
हे,102347
आणि,568921
आहे,302561
आहेत,12342
आहोत,56234
व,23654
हा,21342
ही,67243
हे,344
होत,5678
होतं,4235
होता,1264
